import time: self [us] | cumulative | imported package
import time:       461 |       1675 |                     django.utils.text
import time:       516 |       9478 |                   django.utils.html
import time:       255 |        255 |                   django.template.exceptions
import time:       688 |      23955 |                 django.template.base
import time:       310 |        310 |                 django.template.library
import time:       282 |      24546 |               django.template.engine
import time:       206 |        206 |               django.template.utils
import time:       542 |        542 |                   django.template.backends
import time:        91 |         91 |                     django.utils._os
import time:       112 |        203 |                   django.template.backends.base
import time:       337 |       1080 |                 django.template.backends.django
import time:       242 |       1322 |               django.template.autoreload
import time:       286 |      26358 |             django.template
import time:         7 |      26365 |           django.template.backends
import time:         8 |      26373 |         django.template.backends.django
import time:       153 |      26525 |       django.core.checks.templates
import time:       386 |        386 |           django.conf.locale
import time:       359 |        744 |         django.utils.translation.trans_real
import time:       261 |       1004 |       django.core.checks.translation
import time:       216 |        216 |       django.core.checks.urls
import time:       265 |      68435 |     django.core.checks
import time:       207 |        207 |       django.utils.termcolors
import time:        48 |         48 |       colorama
import time:       204 |        458 |     django.core.management.color
import time:       590 |      69482 |   django.core.management.base
import time:       431 |     157721 | django.core.management
import time:      2182 |       2182 |           http
import time:      1154 |       1154 |           http.cookies
import time:       131 |       3466 |         django.http.cookie
import time:       275 |        275 |           django.core.signing
import time:       199 |        199 |               django.core.files.temp
import time:       248 |        447 |             django.core.files.uploadedfile
import time:       280 |        727 |           django.core.files.uploadhandler
import time:       367 |        367 |           django.http.multipartparser
import time:       426 |       1794 |         django.http.request
import time:        39 |         39 |             winreg
import time:       220 |        259 |           mimetypes
import time:       521 |        521 |           email.header
import time:       417 |        417 |                 email._policybase
import time:       393 |        809 |               email.feedparser
import time:       270 |       1079 |             email.parser
import time:       236 |        236 |               uu
import time:       284 |        284 |               email._encoded_words
import time:       172 |        172 |               email.iterators
import time:       471 |       1162 |             email.message
import time:       691 |       2930 |           http.client
import time:       146 |        146 |                     django.db.models.utils
import time:       158 |        303 |                   django.db.models.signals
import time:      1370 |       1370 |                         _uuid
import time:       370 |       1740 |                       uuid
import time:        87 |         87 |                                 django.template.loader
import time:       153 |        239 |                               django.forms.renderers
import time:       359 |        598 |                             django.forms.utils
import time:        93 |         93 |                                 django.templatetags
import time:       358 |        450 |                               django.templatetags.static
import time:       207 |        207 |                               django.utils.topological_sort
import time:       998 |       1654 |                             django.forms.widgets
import time:       343 |       2593 |                           django.forms.boundfield
import time:       104 |        104 |                               django.utils.deconstruct
import time:       165 |        165 |                               django.utils.ipv6
import time:       788 |       1056 |                             django.core.validators
import time:       241 |        241 |                             django.utils.dateparse
import time:        87 |         87 |                             django.utils.duration
import time:       738 |       2121 |                           django.forms.fields
import time:       307 |        307 |                           django.forms.forms
import time:       492 |        492 |                           django.forms.formsets
import time:       481 |        481 |                           django.forms.models
import time:       130 |       6122 |                         django.forms
import time:       277 |        277 |                         django.db.models.constants
import time:       201 |        201 |                           django.utils.tree
import time:       297 |        497 |                         django.db.models.query_utils
import time:       939 |       7833 |                       django.db.models.fields
import time:       769 |      10342 |                     django.db.models.expressions
import time:       982 |        982 |                             django.db.models.lookups
import time:       256 |        256 |                             django.db.models.fields.mixins
import time:       700 |       1937 |                           django.db.models.fields.json
import time:       310 |       2247 |                         django.db.models.functions.comparison
import time:       505 |        505 |                         django.db.models.functions.datetime
import time:       184 |        184 |                           django.db.models.functions.mixins
import time:       939 |       1123 |                         django.db.models.functions.math
import time:       464 |        464 |                         django.db.models.functions.text
import time:       418 |        418 |                         django.db.models.functions.window
import time:       267 |       5021 |                       django.db.models.functions
import time:         9 |       5029 |                     django.db.models.functions.comparison
import time:       319 |      15689 |                   django.db.models.aggregates
import time:       208 |        208 |                         django.db.backends
import time:       338 |        546 |                       django.db.backends.utils
import time:       369 |        369 |                           django.db.models.fields.related_lookups
import time:        91 |         91 |                           django.db.models.sql.constants
import time:       258 |        258 |                           django.db.models.sql.datastructures
import time:       540 |        540 |                           django.db.models.sql.where
import time:       607 |       1864 |                         django.db.models.sql.query
import time:       150 |        150 |                         django.db.models.sql.subqueries
import time:       108 |       2120 |                       django.db.models.sql
import time:       248 |       2914 |                     django.db.models.indexes
import time:       329 |       3242 |                   django.db.models.constraints
import time:       255 |        255 |                     django.db.transaction
import time:       368 |        622 |                   django.db.models.deletion
import time:       271 |        271 |                   django.db.models.enums
import time:       217 |        217 |                     django.core.files.images
import time:       713 |        713 |                       django.core.files.storage.base
import time:        92 |         92 |                         django.core.files.storage.mixins
import time:       273 |        365 |                       django.core.files.storage.filesystem
import time:       149 |        149 |                       django.core.files.storage.handler
import time:       261 |        261 |                       django.core.files.storage.memory
import time:       242 |       1727 |                     django.core.files.storage
import time:       268 |       2210 |                   django.db.models.fields.files
import time:       104 |        104 |                   django.db.models.fields.proxy
import time:       642 |        642 |                     django.db.models.query
import time:       383 |       1025 |                   django.db.models.manager
import time:       420 |        420 |                       django.db.models.fields.related_descriptors
import time:       306 |        306 |                       django.db.models.fields.reverse_related
import time:       533 |       1258 |                     django.db.models.fields.related
import time:       363 |        363 |                     django.db.models.options
import time:       500 |       2121 |                   django.db.models.base
import time:       169 |      25753 |                 django.db.models
import time:       345 |      26098 |               django.core.serializers.base
import time:       229 |      26326 |             django.core.serializers
import time:       205 |        205 |             django.core.serializers.python
import time:       240 |      26770 |           django.core.serializers.json
import time:       549 |      31027 |         django.http.response
import time:       235 |      36521 |       django.http
